gene_symbol,node_id,adamic_adar_score,string_connected,gtex_max_median_tpm,clinvar_relevant,composite_score,rationale
COL3A1,Gene:1281,10.52724529632499,True,1931.32,True,13.52724529632499,COL3A1: literature bridge score 10.53; STRING-connected to a known hEDS/EDS-family gene: True; connective-tissue expression (max median TPM across proxies): 1931.3; ClinVar has a connective-tissue-relevant record: True.
SMAD3,Gene:4088,10.527054436449472,False,58.8124,False,11.527054436449472,SMAD3: literature bridge score 10.53; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 58.8; ClinVar has a connective-tissue-relevant record: False.
B4GALT7,Gene:11285,8.581725604915844,True,40.5218,False,10.581725604915844,B4GALT7: literature bridge score 8.58; STRING-connected to a known hEDS/EDS-family gene: True; connective-tissue expression (max median TPM across proxies): 40.5; ClinVar has a connective-tissue-relevant record: False.
DSE,Gene:29940,8.581725604915844,False,45.2791,True,10.581725604915844,DSE: literature bridge score 8.58; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 45.3; ClinVar has a connective-tissue-relevant record: True.
COL6A3,Gene:1293,8.333469023201806,True,1201.4,False,10.333469023201806,COL6A3: literature bridge score 8.33; STRING-connected to a known hEDS/EDS-family gene: True; connective-tissue expression (max median TPM across proxies): 1201.4; ClinVar has a connective-tissue-relevant record: False.
PLOD1,Gene:5351,7.396219514819383,True,314.94,False,9.396219514819382,PLOD1: literature bridge score 7.40; STRING-connected to a known hEDS/EDS-family gene: True; connective-tissue expression (max median TPM across proxies): 314.9; ClinVar has a connective-tissue-relevant record: False.
TGFB1,Gene:7040,5.92918108760264,False,192.604,False,6.92918108760264,TGFB1: literature bridge score 5.93; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 192.6; ClinVar has a connective-tissue-relevant record: False.
AEBP1,Gene:165,5.18779492234118,False,2315.05,False,6.18779492234118,AEBP1: literature bridge score 5.19; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 2315.1; ClinVar has a connective-tissue-relevant record: False.
FKBP14,Gene:55033,2.904240374639089,False,34.0122,True,4.904240374639089,FKBP14: literature bridge score 2.90; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 34.0; ClinVar has a connective-tissue-relevant record: True.
C1R,Gene:715,3.3309606626183,False,918.039,False,4.3309606626183,C1R: literature bridge score 3.33; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 918.0; ClinVar has a connective-tissue-relevant record: False.
BCL2A1,Gene:597,3.120917857894254,False,3.5011400000000004,False,3.471031857894254,BCL2A1: literature bridge score 3.12; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 3.5; ClinVar has a connective-tissue-relevant record: False.
FMR1,Gene:2332,0.7491379764530628,False,19.0052,False,1.7491379764530628,FMR1: literature bridge score 0.75; STRING-connected to a known hEDS/EDS-family gene: False; connective-tissue expression (max median TPM across proxies): 19.0; ClinVar has a connective-tissue-relevant record: False.
